tcp,estc,playfile,Wiggins number,author,author 2,author 3,author 4,author 5,translator,in 704 corpus,in 554 corpus,missing from both,title,alternative title,genre,Wiggins genre,DEEP genre,Wiggins contemporary genre,date of writing,date of 1st performance,date of 1st publication,date of text used,play company 1,play company 2,theatre,metre,rhyme,notes
A02827,S106116,A02827,,"Hawkins, William",,,,,,yes,yes,no,Apollo Shroving,,CO,,CO,,1627,1627,1627,1627,,,,,,
A00456,S104446,A00456,432,"Bower, Richard",,,,,,yes,yes,no,Appius and Virginia,Printed: Appius and Virginia / Contemporary: Appius and Virginie / Alternative Modernization: Apius and Virginia,TC,TR,Classical Moral,TR; 'tragical comedy',1559,1564,1575,1575,,,,yes,yes,
A65360,R5767,A65360,,"Webster, John",,,,,,yes,yes,no,Appius and Virginia,,TR,,TR,,1624,1624,1654,1654,Beeston's Boys,,,,,
A89149,R202162,play in collection,,"Milton, John",,,,,,no,no,yes,Arcades,,,,EN,,1630,1633,1645,,,,,,,
A02732,S122021,A02732,,"Dekker, Thomas","Webster, John","Harrison, Stephen",,,,yes,no,no,Arches of Triumph,The Entertainment through London,EN,,Coronation EN,,1604,1604,1604,1604,,,,,,
A20951,S106279,A20951,846,Anonymous,,,,,,yes,yes,no,Arden of Faversham,Printed: The Tragedy of Master Arden of Faversham in Kent / Contemporary: The Tragedy of Arden of Faversham and Black Will; Arden of Kent; Arden of Faversham / Alternative Modernization: Arden of Feversham,TR,TR,TR,TR,1590,1591,1592,1592,,,,iambic pentameter and prose,no,
A01772,S103124,A01772,,"Glapthorne, Henry",,,,,,yes,yes,no,Argalus and Parthenia,,TC,,TC,,1632,1638,1639,1639,Beeston's Boys,,,,,
A39702,R29841,,,"Flecknoe, Richard",,,,,,no,no,yes,Ariadne Deserted by Theseus,,,,Pastoral with Recitative,,1654,1654,1654,,,,,,,
A10402,S942,A10402,,"Randolph, Thomas",,,,,,yes,no,no,Aristippus; The Conceited Pedlar,,ND,,n/a,,,,1630,1630,,,,,,
A11954,S111228,A11954_10,1237,"Shakespeare, William",,,,,,yes,yes,no,As You Like It,Printed: As You Like It,CO,CO,CO,,1598,1599,1623,1623,Lord Chamberlain's (Hunsdon's) Men,,presumably the Globe,prose and pentameter,no,
A66089,R6521,,,"Willan, Leonard",,,,,,no,no,yes,"Astraea, or Love's True Mirror",,,,TC,,1651,1651,1651,,,,,,,
A03424,S104456,A03424,,Anonymous,,,,,,yes,yes,no,"Band, Cuff, and Ruff, or Exchange Ware at the Second Hand",,CO,,Comic Dialogue,,1615,1615,1615,1615,,,,,,
A04633,S4350,A04633_01,,"Jonson, Ben",,,,,,yes,yes,no,Bartholomew Fair,,CO,,CO,,1614,1614,1631,1631,Lady Elizabeth's Men,,,,,
A27177,R22900,A27177_07,,"Beaumont, Francis","Fletcher, John","Massinger, Philip",,,,yes,yes,no,Beggars' Bush,,CO,,CO,,1615,1622,1647,1647,King's Men,,,,,
n/a,n/a,,710,"Hutton, Leonard",,,,,,no,no,yes,Bellum Grammaticale,"Printed: Bellum grammaticale, sive Nominum verborumque discordia civilis / Later assigned: Bellum grammaticae",,allegory,Latin Allegory,tragico-comoedia; CO; fabula,1581,1582,1635,,,,"Christ Church, Oxford",yes,,not in TCP because in Latin?
A07492,S121838,A07492,1311,"Dekker, Thomas",,,,,,yes,yes,no,"Blurt, Master Constable","Printed: Blurt, Master Constable, or The Spaniard's Night Walk",CO,CO,CO,,1601,1601,1602,1602,Children of Paul's (second),,,prose and pentameter,couplets and blank verse,
A27177,R22900,A27177_19,,"Fletcher, John",,,,,,yes,yes,no,Bonduca,,TR,,TR,,1611,1613,1647,1647,King's Men,,,,,
A61942,R14196,A61942,,"Suckling, Sir John",,,,,,yes,yes,no,"Brennoralt, or The Discontented Colonel",,TR,,TR,,1639,1639,1642,1642,King's Men,,,,,
A04599,S107854,A04599,,"Davenant, William",,,,,,yes,no,no,Britannia Triumphans,,MA,,MA,,1637,1638,1637,1637,,,,,,
A20053,S115219,A20053,,"Dekker, Thomas",,,,,,yes,no,no,Britannia's Honour,,EN,,Civic Pageant,,1628,1628,1628,1628,,,,,,
A18403,S107951,A18403,,"Chapman, George",,,,,,yes,yes,no,Bussy D'Ambois,,TR,,Foreign History,,1604,1604,1607,1607,Children of Paul's (second),,,,,
A16527,S100090,A16527_04,,"Alexander, William",,,,,,yes,yes,no,Caesar,Julius Caesar,TR,,TR,,1604,1607,1607,1607,,,,,,
A18424,S107720,A18424,,"Chapman, George",,,,,,yes,no,no,Caesar and Pompey,The Wars of Caesar and Pompey,TR,,Classical History,,1602,1605,1631,1631,,,,,,
A18425,S107722,A18425,,"Chapman, George",,,,,,yes,yes,no,Caesar and Pompey,The Wars of Caesar and Pompey,TR,,Classical History,,1602,1605,1631,1631,,,,,,
A73627,S122351,A73627,,Anonymous,,,,,,yes,yes,no,"Caesar and Pompey, or Caesar's Revenge",,TR,,TR,,1592,1595,1606,1606,University,,,,,
A10041,S110547,A10041,480,"Preston, Thomas",,,,,,yes,yes,no,Cambises,"Printed: Cambyses, King of Persia / Contemporary: A Comedy of King Cambyses; Cambyses / Alternative Modernization: Cambises, King of Persia",TR,TR,TR,tragical history'; interlude; TR; CO,1558,1561,1569,1570,,,,yes,yes,
A06583,S122289,A06583,746,"Lyly, John",,,,,,yes,yes,no,Campaspe,"Printed: Alexander, Campaspe, and Diogenes / Contemporary: Campaspe; Alexander and Campaspe",CO,CO,Classical Legend (Comedy),CO; tragical comedy,1583,1583,1584,1584,Oxford's Boys (Wiggins) / Children of the Chapel; Children of Paul's (DEEP),,the Blackfriars,prose,,
B00396,S94063,B00396,746,"Lyly, John",,,,,,yes,no,no,Campaspe,"Printed: Alexander, Campaspe, and Diogenes / Contemporary: Campaspe; Alexander and Campaspe",CO,CO,Classical Legend (Comedy),CO; tragical comedy,1583,1583,1584,1584,Oxford's Boys (Wiggins) / Children of the Chapel; Children of Paul's (DEEP),,the Blackfriars,prose,,
fragment - not in tcp?,not in estc?,,,"Munday, Anthony",,,,,,no,no,yes,"Campbell, or The Ironmongers' Fair Field",,,,Civic Pageant,,1609,1609,[1609],,,,,,,
n/a,n/a,,,Anonymous,,,,,,no,no,yes,Cancer,,,,Latin CO,,1611,1612,1648,,,,,,,not in TCP because in Latin?
A52953,R17847,A52953,,Anonymous,,,,,,yes,yes,no,Canterbury His Change of Diet,,CO,,Political Dialogue,,1641,1641,1641,1641,,,,,,
A04632,S112455,A04632_09,,"Jonson, Ben",,,,,,yes,yes,no,Catiline His Conspiracy,,TR,,TR,,1611,1611,1611,1616,King's Men,,,,,
A04640,S107869,A04640,,"Jonson, Ben",,,,,,yes,no,no,Catiline His Conspiracy,,TR,,TR,,1611,1611,1611,1611,King's Men,,,,,
B12027,S107727,,,"Chapman, George","Shirley, James",,,,,no,no,yes,"Chabot, Admiral of France",,,,TR,,1611,1612,1639,,Lady Elizabeth's Men,,,,,
A12129,S117313,A12129,,"Shirley, James",,,,,,yes,yes,no,"Changes, or Love in a Maze",,CO,,CO,,1632,1632,1632,1632,King's Revels Company,,,,,
A40857,R3816,,,Anonymous,,,,,,no,no,yes,Charles the First,,,,TR,,1649,1649,1649,,,,,,,
A18589,S104972,A18589,,"Amerie, Robert","Davies, Richard",,,,,yes,no,no,Chester's Triumph,,EN,,St George's Day Show,,1610,1610,1610,1610,,,,,,
A04644,S109221,A04644,,"Jonson, Ben",,,,,,yes,no,no,Chloridia: Rites to Chloris and Her Nymphs,,MA,,MA,,1631,1631,1631,1631,,,,,,
A72473,S111824,play in collection,,"Jonson, Ben",,,,,,no,no,yes,Christmas His Masque,Christmas His Show,,,Christmas Show,,1616,1616,1641,,,,,,,
A02262,S4330,A02262,,"Grotius, Hugo",,,,,"Sandys, George",yes,yes,no,Christ's Passion,,TR,,Neo-miracle,,1640,1640,1640,1640,,,,,,
A68488,S112982,,,"Munday, Anthony",,,,,,no,no,yes,"Chrysanaleia: The Golden Fishing, or Honor of Fishmongers",,,,Civic Pageant,,1616,1616,1616,,,,,,,
A07895,S110068,,,"Munday, Anthony",,,,,,no,no,yes,Chryso-Thriambos,,,,Civic Pageant,,1611,1611,1611,,,,,,,
A07494,S112680,,,"Middleton, Thomas",,,,,,no,no,yes,Civitatis Amor,,,,Royal EN,,1616,1616,1616,,,,,,,
A47372,R7715,A47372_10,,"Killigrew, Thomas",,,,,,yes,yes,no,Claricilla,Claracilla,TC,,TC,,1636,1639,1641,1664,Queen Henrietta Maria's Men,,,,,TCP transcription lacks final page due to imaging error
not in tcp?,S95648,,,Anonymous,,,,,,no,no,yes,Claudius Tiberius Nero,,,,TR,,1607,1607,1607,,,,,,,
A19816,S105172,A19816_03,949,"Daniel, Samuel",,,,,,yes,yes,no,Cleopatra,Contemporary: The Tragedy of Cleopatra,TR,TR,TR,TR,1593,1593,1594,1594,,,,yes,yes,
A07330,S112548,A07330,,"May, Thomas",,,,,,yes,yes,no,"Cleopatra, Queen of Egypt",,TR,,TR,,1626,1626,1639,1639,,,,,,
A69121,S110383,A69121,,"Peele, George",,,,,,yes,yes,no,Clyomon and Clamydes,,HI,,Heroical Romance,,1599,1570,1599,1599,Queen Elizabeth's Men,,,,,
A73704,S107477,A73704,,"Carew, Thomas",,,,,,yes,no,no,Coelum Britannicum,,MA,,MA,,1634,1634,1634,1634,,,,,,
A30300,R20062,A30300,,"Burkhead, Henry",,,,,,yes,yes,no,"Cola's Fury, or Lirenda's Misery",,TR,,Political Tragicomedy,,1645,1645,1646,1646,,,,,,
not in tcp?,S91492,,486,Anonymous,,,,,,no,no,yes,Common Conditions,Printed: Common Conditions / Later assigned: Commons Conditions,,romance,Heroical Moral,CO,1570,1576,[1576],,,,,yes,yes,
A07555,S121854,A07555,,"Milton, John",,,,,,yes,no,no,Comus,The Masque at Ludlow Castle,MA,,Moral MA,,1634,1634,1637,1637,,,,,,
A11954,S111228,A11954_26,,"Shakespeare, William",,,,,,yes,yes,no,Coriolanus,,TR,,TR,,1608,1608,1623,1623,King's Men,,,,,
A01500,S105698,A01500,954,"Garnier, Robert",,,,,"Kyd, Thomas",yes,yes,no,Cornelia,Printed: Cornelia / Contemporary: Pompey the Great's Fair Cornelia's Tragedy / Alternative Modernization: Pompey the Great his Fair Cornelia's Tragedy,TR,TR,TR,TR,1594,1594,1594,1594,,,,yes,no,
A01501,S105700,A01501,954,"Garnier, Robert",,,,,"Kyd, Thomas",yes,no,no,Cornelia,Printed: Cornelia / Contemporary: Pompey the Great's Fair Cornelia's Tragedy / Alternative Modernization: Pompey the Great his Fair Cornelia's Tragedy,TR,TR,TR,TR,1594,1594,1594,1595,,,,yes,no,
n/a,n/a,,,"Randolph, Thomas",,,,,,no,no,yes,Cornelianum Dolium,,,,Latin CO,,1638,1638,1638,,,,,,,not in TCP because in Latin?
A04959,S108158,A04959,,"Kynaston, Francis (?)",,,,,,yes,no,no,Corona Minervae,,MA,,Academic EN,,1635,1636,1635,1635,,,,,,
A07971,S113044,A07971,,"Nabbes, Thomas",,,,,,yes,yes,no,Covent Garden,,CO,,CO,,1633,1633,1638,1638,Queen Henrietta Maria's Men,,,,,
A16527,S100090,A16527_01,,"Alexander, William",,,,,,yes,yes,no,Croesus,,TR,,TR,,1604,1604,1604,1607,,,,,,
not in tcp?,R207859,,,Anonymous,,,,,,no,no,yes,Cromwell's Conspiracy,,,,HI,,1660,1660,1660,,,,,,,
A59977,R203569,A59977,,"Shirley, James",,,,,,yes,no,no,Cupid and Death,,EN,,MA,,1653,1653,1653,1659,,,,,,
A06177,S101156,A06177,,"Beaumont, Francis","Fletcher, John",,,,,yes,yes,no,Cupid's Revenge,,TR,,TR,,1607,1608,1615,1615,Children of the Queen's Revels,,,,,
A12074,S117216,A12074,,"Sharpham, Edward",,,,,,yes,yes,no,Cupid's Whirligig,,CO,,CO,,1607,1607,1607,1607,Children of the King's Revels,,,,,
A11954,S111228,A11954_36,,"Shakespeare, William",,,,,,yes,yes,no,Cymbeline,"Cymbeline, King of Britain",TR,,TC,,1610,1610,1623,1623,King's Men,,,,,
A04632,S112455,A04632_03,,"Jonson, Ben",,,,,,yes,yes,no,Cynthia's Revels,"Cynthia's Revels, or The Fountain of Self-Love",CO,,CO,,1600,1600,1601,1616,Children of the Chapel (second),,,,,
A04653,S109229,A04653,,"Jonson, Ben",,,,,,yes,no,no,Cynthia's Revels,"Cynthia's Revels, or The Fountain of Self-Love",CO,,CO,,1600,1600,1601,1601,Children of the Chapel (second),,,,,
A12954,S111279,A12954,,"Stephens, John",,,,,,yes,yes,no,Cynthia's Revenge,"Cynthia's Revenge, or Maenander's Ecstasy",TR,,TR,,1613,1613,1613,1613,,,,,,
A21159,S105458,A21159,389,"Edwards, Richard",,,,,,yes,yes,no,Damon and Pithias,"Performed: Damon and Pythias / Printed: Two of the Most Faithfullest Friends, Damon and Pythias / Alternative Modernization: Damon and Pithias",CO,CO,TC,tragical comedy; TR; CO,1564,1564,1571,1571,Children of the Chapel Royal,,,yes,yes,
A16527,S100090,A16527_02,,"Alexander, William",,,,,,yes,yes,no,Darius,,TR,,TR,,1603,1603,1603,1607,,,,,,
A31021,R17390,play in collection,,"Baron, Robert",,,,,,no,no,yes,Deorum Dona,,,,MA,,1647,1647,1647,,,,,,,
A09222,S2840,A09222,898,"Peele, George",,,,,,yes,no,no,Descensus Astraeae,Printed: Descensus Astraeae,EN,civic pageant,Civic Pageant,device of a pageant,1591,1591,1591,1591,London Salters' Company,,on the River Thames and in the city streets,yes,"blank verse, ABABCC and variants, and couplets",
A07023,S109880,A07023,820,"Marlowe, Christopher","Nashe, Thomas",,,,,yes,yes,no,"Dido, Queen of Carthage",Printed: The Tragedy of Dido; Queen of Carthage / Contemporary: The Tragedy of Dido,TR,TR,TR,TR,1585,1586,1594,1594,Children of the Chapel Royal,,,yes,no,
A81480,R204904,A81480,,Anonymous,,,,,,yes,no,no,"Ding-Dong, or Sir Pitiful on His Death-bed",,DI,,Political DI,,1648,1648,1648,1648,,,,,,
A07009,S120173,A07009,810,"Marlowe, Christopher",,,,,,yes,yes,no,Dr. Faustus,Performed: Doctor Faustus / Printed: The Tragical History of Doctor Faustus / Contemporary: Faustus; De Fausto; The Tragical History of the Horrible Life and Death of Dr Faustus,TR,TR,TR,comoedia; play; tragical history; HI,1588,1592,1604,1604,Admiral's (Nottingham's) Men,,,iambic pentameter and prose,no,
A18407,S107691,A18407,,"Chapman, George","Jonson, Ben","Marston, John",,,,yes,yes,no,Eastward Ho,,CO,,CO,,1605,1605,1605,1605,Children of the Queen's Revels,,,,,
A09224,S110371,A09224,881,"Peele, George",,,,,,yes,yes,no,Edward the First,"Printed: The Famous Chronicle of King Edward I, surnamed Longshanks / Contemporary: Edward Longshanks / Later assigned: Edward I",HI,HI,HI,interlude; chronicle,1591,1591,1593,1593,,,,"pentameter, prose, and fourteeners",blank verse and couplets,
A07018,S120996,A07018,927,"Marlowe, Christopher",,,,,,yes,yes,no,Edward the Second,"Printed: The Troublesome Reign and Lamentable Death of Edward II, King of England, with the Tragical Fall of Proud Mortimer / Contemporary: The Tragedy of Edward II; Edward II; The Reign of Edward II / Alternative Modernization: Edward the Second",HI,HI,HI,TR,1592,1592,1594,1594,Pembroke's Men in London,,probably the Theatre,pentameter and prose,no,
A93563,R203592,,,Sophocles,,,,,"Wase, Christopher",no,no,yes,Electra,,,,TR,,1649,1649,1649,,,,,,,
A06589,S109719,A06589,794,"Lyly, John",,,,,,yes,yes,no,Endymion,"Printed: Endymion, the Man in the Moon / Contemporary: Endymion / Alternative Modernization: Endimion",CO,CO,Classical Legend (CO),CO,1588,1588,1591,1591,Children of Paul's,,,prose,yes,
A02800,S106033,A02800,,"Haughton, William",,,,,,yes,yes,no,Englishmen for My Money,"Englishmen for My Money, or A Woman Will Have Her Will",CO,,CO,,1598,1598,1616,1616, Admiral's (Nottingham's) Men,,,,,
A14627,S111566,A14627,468,"Wager, William",,,,,,yes,yes,no,Enough Is as Good as a Feast,Performed+Printed: Enough is as Good as a Feast / Later assigned: Enough's as Good as a Feast; Enough as Good as a Feast,CO,moral,Protestant Moral,CO; interlude,1559,1560,1568,1568,,,,yes,yes,
A04632,S112455,play in collection,,"Jonson, Ben",,,,,,no,no,yes,Entertainments,,,,,,,,1616,,,,,,,composite file of various entertainments
A04632,S112455,A04632_07,,"Jonson, Ben",,,,,,yes,yes,no,Epicoene,"Epicene, or The Silent Woman",CO,,CO,,1609,1610,1616,1616,Children of the Queen's Revels,,,,,
A04645,S113330,A04645,,"Jonson, Ben",,,,,,yes,no,no,Epicoene,"Epicene, or The Silent Woman",CO,,CO,,1609,1610,1616,1620,Children of the Queen's Revels,,,,,
A04632,S112455,A04632_01,1143,"Jonson, Ben",,,,,,yes,yes,no,Every Man in His Humour,Performed+Printed: Every Man in His Humour / Contemporary: Every Man's Humour; Every One in His Humour; Every Man in's Humour,CO,CO,CO,CO,1598,1598,1601,1616,Lord Chamberlain's (Hunsdon's) Men,,perhaps at the Curtain (?),prose and pentameter,no,
A04647,S109361,A04647.txt,1143,"Jonson, Ben",,,,,,yes,no,no,Every Man in His Humour,Performed+Printed: Every Man in His Humour / Contemporary: Every Man's Humour; Every One in His Humour; Every Man in's Humour,CO,CO,CO,CO,1598,1598,1601,1601,Lord Chamberlain's (Hunsdon's) Men,,perhaps at the Curtain (?),prose and pentameter,no,
A04632,S112455,A04632_02,1216,"Jonson, Ben",,,,,,yes,yes,no,Every Man Out of His Humour,Performed+Printed: Every Man Out of His Humour / Contemporary: Every One Out of His Humor,CO,CO,CO,,1599,1599,1600,1616,Lord Chamberlain's (Hunsdon's) Men,,the Globe,prose and pentameter,no,
A04648,S109225,A04648,1216,"Jonson, Ben",,,,,,yes,no,no,Every Man Out of His Humour,Performed+Printed: Every Man Out of His Humour / Contemporary: Every One Out of His Humor,CO,CO,CO,,1599,1599,1600,1600,Lord Chamberlain's (Hunsdon's) Men,,the Globe,prose and pentameter,no,
A15676,S120276,,,Anonymous,,,,,,no,no,yes,Every Woman in Her Humor,,,,CO,,1599,1607,1609,,Children of the King's Revels,,,,,
A21328,S111644,A21328,852,Anonymous,,,,,,yes,yes,no,Fair Em,"Printed: Fair Em, the Miller's Daughter of Manchester / Contemporary: The Miller's Daughter of Manchester / Later Assigned: Fair Em",CO,CO,Romantic Comedy,CO,1590,1590,1592-3,1592,Lord Strange's (Derby's) Men in London,,,iambic pentameter and prose,no,
A46245,R12361,A46245,,"Jordan, Thomas",,,,,,yes,no,no,Fancy's Festivals,,ND,,Medley,,1654,1657,1657,1657,,,,,,
A09134,S110343,A09134,747,"Pasqualigo, Luigi",,,,,"Munday, Anthony",yes,yes,no,Fedele and Fortunia,Printed: Fedele and Fortunio: The Deceits in Love / Contemporary: Two Italian Gentlemen / Alternative Modernization: Fidele and Fortunio,CO,CO,CO,CO,1583,1584,1585,1585,Children of the Chapel Royal,,Blackfriars (?),yes,yes,
A28644,R11459,,,"Bonarelli, Guidobaldo de'",,,,,"Sidnam, Jonathan",no,no,yes,"Filli di Sciro, or Phillis of Scyros",,,,Pastoral,,1630,1630,1655,,,,,,,
A72473,S111824,play in collection,,"Jonson, Ben",,,,,,no,no,yes,For the Honor of Wales,,,,MA,,1618,1618,1641,,,,,,,
A43595,R10165,A43595,,"Heywood, Thomas","Rowley, William",,,,,yes,yes,no,Fortune by Land and Sea,,CO,,CO,,1609,1609,1655,1655,Queen Anne's Men,Queen Henrietta Maria's Men,,,,
A27177,R22900,A27177_35,,"Fletcher, John","Field, Nathan",,,,,yes,no,no,"Four Plays, or Moral Representations, in One",,ND,,Moral,,1613,1613,1647,1647,,,,,,
n/a,n/a,,,"Stubbe, Edmund",,,,,,no,no,yes,Fraus Honesta,Callidamus et Callanthia,,,Latin CO,,1619,1619,1632,,,,,,,not in TCP because in Latin?
not in tcp?,S110073,,471,"Bassano, Francesco Negri da",,,,,"Cheeke, Henry",no,no,yes,Free-Will,Printed: Freewill / Alternative modernization: Free Will,,Reformation allegory,Anti-Catholic Moral,TR,1568,1568,DEEP: [1573?] / Wiggins: 1572-3,,,,,no,no,
A02127,S105968,A02127,,"Greene, Robert",,,,,,yes,yes,no,Friar Bacon and Friar Bongay,,CO,,CO,,1586,1589,1594,1594,Queen Elizabeth's Men,Prince Palatine's Men,,,,
A02128,S103422,A02128,,"Greene, Robert",,,,,,yes,no,no,Friar Bacon and Friar Bongay,,CO,,CO,,1586,1589,1594,1630,Queen Elizabeth's Men,Prince Palatine's Men,,,,
A00760,S102088,A00760,,"Fisher, Jasper",,,,,,yes,yes,no,Fuimus Troes,The True Trojans,HI,,HI,,1611,1625,1633,1633,,,,,,
A06619,S109720,A06619,754,"Lyly, John",,,,,,yes,yes,no,Gallathea,Printed: Galatea / Contemporary: Tityrus and Galatea / Alternative Modernizations: Gallathea; Galathea,CO,CO,Classical Legend (Comedy),CO,1584,1585,1592,1592,Children of Paul's,,,prose,no,
A12969,S111290,A12969,253,"Stevenson, William",,,,,,yes,yes,no,Gammer Gurton's Needle,Printed: Gammer Gurton's Needle / Contemporary: Diccon of Bedlam; Gurton; Mother Gurton's Needle,CO,CO,CO,CO; interlude,1553,1553,1575,1575,,,"Christ's College, Cambridge",yes,yes,
A02070,S105826,A02070,893,"Greene, Robert",,,,,,yes,yes,no,"George a Green, the Pinner of Wakefield","Performed: George-a-Greene / Printed: George-a-Greene, the Pinner of Wakefield / Contemporary: The Pinner of Wakefield / Alternative Modernization: George a Green",CO,romance,Romantic Comedy,interlude; CO,1587,1590,1599,1599,Sussex's Men,,,yes,no,
not in tcp?,S106101,,,Anonymous,,,,,,no,no,yes,Godly Queen Esther,,,,Biblical IN,,1525,1527,1561,,,,,,,
A08360,S111262,A08360,351,"Norton, Thomas","Sackville, Thomas",,,,,yes,yes,no,Gorboduc,Printed: The Tragedy of Gorboduc / Contemporary: The Tragedy of King Gorboduc; The Tragedy of Ferrex and Porrex,TR,TR,TR,TR,1562,1562,1565,1565,Inner Temple,,,yes,no,
A08361,S121996,A08361,351,"Norton, Thomas","Sackville, Thomas",,,,,yes,no,no,Gorboduc,Printed: The Tragedy of Gorboduc / Contemporary: The Tragedy of King Gorboduc; The Tragedy of Ferrex and Porrex,TR,TR,TR,TR,1562,1562,1565,1570,Inner Temple,,,yes,no,
A19260,S105001,A19260,,"Cooke, Joshua",,,,,,yes,yes,no,"Greene's Tu Quoque, or The City Gallant",,CO,,CO,,1611,1611,1614,1614,Queen Anne's Men,,,,,
A31021,R17390,play in collection,,"Baron, Robert",,,,,,no,no,yes,"Gripsius and Hegio, or The Passionate Lovers",,,,Pastoral,,1647,1647,1647,,,,,,,
A11954,S111228,A11954_32,1259,"Shakespeare, William",,,,,,yes,yes,no,Hamlet,"Performed: The Tragedy of Hamlet / Printed: Hamlet, Prince of Denmark / Contemporary: The Revenge of Hamlet, Prince of Denmark; Hamlet",TR,TR,TR,tragical history; TR,1600,1601,1603,1623,Lord Chamberlain's (Hunsdon's) Men,King's Men,the Globe,pentameter and prose,no,
A07974,S113063,A07974,,"Nabbes, Thomas",,,,,,yes,yes,no,Hannibal and Scipio,,TR,,TR,,1635,1635,1637,1637,Queen Henrietta Maria's Men,,,,,
A07637,S101423,A07637,,"Belchier, Dabridgcourt",,,,,,yes,yes,no,Hans Beer-Pot,See Me and See Me Not,CO,,Comic Dialogue,,1618,1618,1618,1618,,,,,,
A11954,S111228,A11954_19,1183,"Shakespeare, William",,,,,,yes,yes,no,Henry V,"Performed: Henry V / Printed: The Life of Henry V / Contemporary: Agincourt; The History of Henry V, with the Battle of Agincourt / Later assigned: King Henry V",HI,HI,HI,HI,1599,1599,1600,1623,Lord Chamberlain's (Hunsdon's) Men,,presumably the Curtain,pentameter and prose,no,
A11954,S111228,A11954_24,,"Shakespeare, William","Fletcher, John",,,,,yes,yes,no,Henry VIII,Henry the Eighth (All Is True),HI,,HI,,1613,1613,1623,1623,King's Men,,,,,
A11909,S117108,A11909_01,342,"Seneca, Lucius Annaeus",,,,,"Heywood, Jasper",yes,yes,no,Hercules Furens,Printed: Hercules furens,TR,TR,TR,TR,1561,1561,1561,1581,,,,yes,yes,
A11909,S117108,A11909_10,426,"Seneca, Lucius Annaeus",,,,,"Studley, John",yes,yes,no,Hercules Oetaeus,Printed: Hercules Oetaeus,TR,TR,TR,TR,1566,1566,1581,1581,,,,yes,yes,
A06982,S112199,A06982,,"Markham, Gervase","Sampson, William",,,,,yes,yes,no,Herod and Antipater,,TR,,TR,,1622,1622,1622,1622,Red Bull (Revels) Company (first),,,,,
A07903,S120605,,,"Munday, Anthony",,,,,,no,no,yes,Himatia-Poleos,,,,Civic Pageant,,1614,1614,1614,,,,,,,
A11909,S117108,A11909_04,442,"Seneca, Lucius Annaeus",,,,,"Studley, John",yes,yes,no,Hippolytus,Printed: Hippolytus,TR,TR,TR,TR,1567,1567,1581,1581,,,,yes,yes,
A59169,R37364,A59169,,"Seneca, Lucius Annaeus",,,,,"Prestwich, Edmund",yes,yes,no,Hippolytus,,TR,,TR,,1651,1651,1651,1651,,,,,,
A03405,S122282,A03405,,"Marston, John",,,,,,yes,yes,no,"Histriomastix, or The Player Whipped",,CO,,CO,,1598,1599,1610,1610,Children of Paul's (second),,,,,
A18596,S107798,A18596,,"Chettle, Henry",,,,,,yes,yes,no,"Hoffman, or A Revenge for a Father",,TR,,TR,,1602,1602,1631,1631,Admiral's (Nottingham's) Men,,,,,
A07025,S112203,A07025,,"Marmion, Shackerley",,,,,,yes,yes,no,Holland's Leaguer,,CO,,CO,,1631,1631,1632,1632,Prince Charles's Men (second),,,,,
A07502,S110003,A07502,,"Middleton, Thomas",,,,,,yes,no,no,Honorable Entertainments,,EN,,n/a,,1621,,1621,1621,,,,,,
A59982,R35185,A59982_01,,"Shirley, James",,,,,,yes,yes,no,Honoria and Mammon,Honoria and Mammon; The Contention of Ajax and Ulysses,TC,,n/a,,1658,,1658,1659,,,,,,
A34579,R19443,A34579,,"Corneille, Pierre",,,,,"Lower, William",yes,yes,no,Horatius,,TR,,TR,,1656,1656,1656,1656,,,,,,
A09651,S101918,A09651,,"Pikering, John",,,,,,yes,no,no,Horestes,The Interlude of Vice; Orestes,IN,,Moral Interlude,,1567,1567,1567,1567,,,,,,
A19183,S119222,A19183,1303,"Heywood, Thomas",,,,,,yes,yes,no,How a Man May Choose a Good Wife from a Bad,Printed: A Pleasant Comedy wherein is showed How a Man May Choose a Good Wife from a Bad / Contemporary: How to Choose a Good Wife from a Bad; Good Wife and Bad; To Choose a Good Wife; To Choose a Good Wife from a Bad / Later assigned: How a Man May Choose a Good Wife from a Bad / Alternative modernization: To Choose a Goodwife,CO,CO,CO,,1601,1602,1602,1602,Worcester's Men,,,pentameter and prose,no,
A19975,S109423,A19975,,"Day, John",,,,,,yes,yes,no,Humor Out of Breath,,CO,,CO,,1607,1608,1608,1608,Children of the King's Revels,,,,,
not in tcp?,S93103,,,Anonymous,,,,,,no,no,yes,Hycke Scorner,,,,Moral IN,,1513,1513,[1515?],,,,,,,
A12140,S117338,A12140,,"Shirley, James",,,,,,yes,yes,no,Hyde Park,,CO,,CO,,1632,1632,1637,1637,Queen Henrietta Maria's Men,,,,,
A04654,S109230,A04654,,"Jonson, Ben",,,,,,yes,no,no,Hymenaei,,MA,,MA and Barriers,,1606,1606,1606,1606,,,,,,
A19829,S109268,A19829,,"Daniel, Samuel",,,,,,yes,yes,no,Hymen's Triumph,,TC,,Pastoral,,1614,1614,1615,1615,,,,,,
A20066,S109539,A20066,,"Dekker, Thomas",,,,,,yes,yes,no,"If It Be Not Good, the Devil Is in It","If This Be Not a Good Play, the Devil Is in It",CO,,CO,,1611,1611,1612,1612,Queen Anne's Men,,,,,
