filenumber,creation date,author,title
SHC-A27177_31,1614,"Fletcher, John",Valentinian
SHC-A27177_32,1626,"Fletcher, John; Massinger, Philip",The Fair Maid of the Inn
SHC-A27177_33,1616,"Beaumont, Francis; Fletcher, John",Love's Pilgrimage
SHC-A27177_35,1613,"Fletcher, John; Field, Nathan","Four Plays, or Moral Representations, in One"
SHC-A27203,1621,"Fletcher, John",The Wild Goose Chase 
SHC-A29238,1641,"Brathwait, Richard","Mercurius Britannicus, or The English Intelligencer (The Censure of Judges, or The Court Cure) "
SHC-A29620,1638,"Brome, Alexander",The Cunning Lovers 
SHC-A29635,1638,"Brome, Richard",The Damoiselle or The New Ordinary
SHC-A29637,1641,"Brome, Richard","A Jovial Crew, or The Merry Beggars "
SHC-A29644,1657,"Brome, Richard",The Queen's Exchange (The Royal Exchange) 
SHC-A30315,1641,"Burnell, Henry ",Landgartha 
SHC-A31672,1640,"Glapthorne, Henry",Revenge for Honor (The Parricide) 
SHC-A31675,1594,anon.,"Alphonsus, King of Aragon "
SHC-A35657,1642,"Denham, John",The Sophy 
SHC-A37285,1611,"Day,  John",The Parliament of Bees 
SHC-A39898,1624,"Dekker, Thomas; Ford, John",The Sun's Darling 
SHC-A41366,1619,"Goffe, Thomas",The Careless Shepherdess 
SHC-A41993,1591,anon.,Mucedorus (and Amadine) 
SHC-A43595,1609,"Heywood, Thomas; Rowley, William",Fortune by Land and Sea 
SHC-A46228,1616,"Jonson, Ben",The Devil Is an Ass 
SHC-A46230,1616,"Middleton, Thomas",The Widow 
SHC-A47372_01,1636,"Killigrew, Thomas",The Princess
SHC-A47372_02,1641,"Killigrew, Thomas",The Parson's Wedding
SHC-A47372_10,1636,"Killigrew, Thomas",Claricilla
SHC-A47372_11,1635,"Killigrew, Thomas",The Prisoners
SHC-A49479,1600,anon.,"Lust's Dominion, or The Lascivious Queen "
SHC-A50090,1632,"Massinger, Philip",The City Madam 
SHC-A50091,1618,"Middleton, Thomas; Rowley, William; Heywood, Thomas","The Old Law, or A New Way to Please You "
SHC-A50093_01,1636,"Massinger, Philip",The Bashful Lober
SHC-A50093_02,1633,"Massinger, Philip",The Guardian
SHC-A50093_03,1636,"Fletcher, John; Massinger, Philip","A Very Woman, or The Prince of Tarent"
SHC-A50787,1621,"Middleton, Thomas",Anything for a Quiet Life
SHC-A50789,1622,"Middleton, Thomas",The Changeling 
SHC-A50793,1618,"Middleton, Thomas",The Mayor of Quinborough
SHC-A50799_01,1615,"Middleton, Thomas",More Dissemblers Beside Women
SHC-A50799_02,1621,"Middleton, Thomas",Women Beware Women
SHC-A52953,1641,anon.,Canterbury His Change of Diet 
SHC-A53060_00,1662,"Cavendish, Margaret",Preface
SHC-A53060_01,1662,"Cavendish, Margaret",1 Love's Adventures
SHC-A53060_02,1662,"Cavendish, Margaret",2 Love's Adventures
SHC-A53060_03,1662,"Cavendish, Margaret",Several Wits
SHC-A53060_04,1662,"Cavendish, Margaret",1 Youth's Glory and Death's Banquet
SHC-A53060_05,1662,"Cavendish, Margaret",2 Youth's Glory and Death's Banquet
SHC-A53060_06,1662,"Cavendish, Margaret",1 The Lady
SHC-A53060_07,1662,"Cavendish, Margaret",2 The Lady
SHC-A53060_08,1662,"Cavendish, Margaret",1 Wit's Cabal
SHC-A53060_09,1662,"Cavendish, Margaret",2 Wit's Cabal
SHC-A53060_10,1662,"Cavendish, Margaret",The Unnatural Tragedy
SHC-A53060_11,1662,"Cavendish, Margaret",The Wooers
SHC-A53060_12,1662,"Cavendish, Margaret",1 The Matrimonial Trouble
SHC-A53060_13,1662,"Cavendish, Margaret",2 The Matrimonial Trouble
SHC-A53060_14,1662,"Cavendish, Margaret",1 Beauty Love and Wit
SHC-A53060_15,1662,"Cavendish, Margaret",2 Beauty Love and Wit
SHC-A53060_16,1662,"Cavendish, Margaret",The Religious
SHC-A53060_17,1662,"Cavendish, Margaret",The Comical Hash
SHC-A53060_18,1662,"Cavendish, Margaret",1 Bell in Campo
SHC-A53060_19,1662,"Cavendish, Margaret",2 Bell in Campo
SHC-A53060_20,1662,"Cavendish, Margaret",A Comedy of the Apocryphal Ladies
SHC-A53060_21,1662,"Cavendish, Margaret",The Female Academy
SHC-A53070_01,1640,"Cavendish, William",The Country Captain
SHC-A53070_02,1641,"Cavendish, William",The Variety
SHC-A56872,1628,"Ford, John",The Queen
SHC-A57763,1608,"Rowley, William",The birth of Merlin
SHC-A57764,1621,"Dekker, Thomas; Rowley, William; Ford, John",The Witch of Edmonton 
SHC-A59979,1639,"Shirley, James",The Gentleman of Venice 
SHC-A59990,1639,"Shirley, James",The Politician 
SHC-A59992_04,1640,"Shirley, James",The Impostor
SHC-A59992_06,1642,"Shirley, James",The Court Secret
SHC-A61942,1642,"Suckling, Sir John","Brennoralt, or The Discontented Colonel "
SHC-A62477,1599,"Webster, John",The Thracian Wonder
SHC-A62894,1657,"Tomkis, Thomas","Lingua, or The Combat of the Tongue and the Five Senses for Superiority "
SHC-A65360,1624,"Webster, John",Appius and Virginia
SHC-A68114,1591,"Greene, Robert",The Tragical Reign of Selimus
SHC-A68191,1601,anon.,The Trial of Chivalry (This Gallant Cavaliero Dick Bowyer) 
SHC-A68468,1607,"Middleton, Thomas",Your Five Gallants
SHC-A68655,1640,"Richards, Nathaniel","Messalina, the Roman Empress "
SHC-A68683,1616,"S., S. ",The Honest Lawyer 
SHC-A68918,1572,"Woodes, Nathaniel",The Conflict of Conscience 
SHC-A69093,1605,"Chapman, George",Monsieur D'Olive 
SHC-A69121,1599,"Peele, George",Clyomon and Clamydes 
SHC-A72254,1632,"Hausted, Peter",The Rival Friends 
SHC-A73627,1595,anon.,Caesar and Pompey
SHC-A73704,1634,"Carew, Thomas",Coelum Britannicum 
SHC-A77565_01,1632,"Brome, Richard",A Mad Couple Well Matched
SHC-A77565_02,1639,"Brome, Richard",The Novella
SHC-A77565_04,1637,"Brome, Richard","The City Wit, or The Woman Wears the Breeches"
SHC-A77567_01,1632,"Brome, Richard","The English Moor, or The Mock Marriage"
SHC-A77567_02,1635,"Brome, Richard","The Lovesick Court, or The Ambitious Politic"
SHC-A77567_03,1635,"Brome, Richard","The Weeding of the Covent Garden, or The Middlesex Justice of Peace"
SHC-A77567_04,1659,"Brome, Richard",The New Academy or The New Exchange
SHC-A77567_05,1659,"Brome, Richard",The Queen and Concubine
SHC-A85334_01,1656,"Goffe, Thomas ","The Raging Turk, or Bajazet the Second"
SHC-A85334_02,1619,"Goffe, Thomas ",The Courageous Turk
SHC-A93166,1652,"Shirley, James",The Brothers
SHC-A93167,1641,"Shirley, James",The Cardinal 
SHC-A93170,1638,"Shirley, James",The Doubtful Heir 
SHC-A93178,1642,"Shirley, James",The Sisters 
SHC-B07101,1633,"Shirley, James",The Triumph of Peace 
,,,
